ros_timestamp,predicted_score,true_label,traversability_cost,w_slip,w_imu_rp,w_imu_gyro,w_wheel_speed,w_wheel_accel,gt_slip,gt_imu_rp,gt_imu_gyro,gt_wheel_speed,gt_wheel_accel
1770201999.8804,0.7702618837356567,0.9004126787185669,0.8766076564788818,0.22313978,0.21551433,0.18152504,0.18835545,0.19146544,0.9157974,0.8275773,0.85146916,0.9644985,0.94272083
1770202000.4134,0.7879500389099121,0.9339025616645813,0.8103147149085999,0.22929199,0.21293993,0.17234966,0.17035756,0.2150609,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770202000.5846,0.7457985281944275,0.8868350386619568,0.7356038093566895,0.21553011,0.20758946,0.2024846,0.17185356,0.2025422,0.89670366,0.7898576,0.8069888,0.9997211,0.940904
1770202001.0956,0.7265532612800598,0.9339025616645813,0.4031769335269928,0.21873865,0.20366684,0.1879998,0.1779997,0.211595,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770202001.3864,0.7339572906494141,0.9222347140312195,0.2871430516242981,0.23005474,0.20988321,0.18113844,0.16539241,0.21353121,0.92190015,0.81509984,0.95972556,0.96643305,0.94801474
1770202001.5174,0.7347473502159119,0.9014150500297546,0.2744710445404053,0.2028374,0.20836963,0.2067495,0.16650595,0.21553747,0.9182613,0.8072031,0.85222244,0.9848237,0.9445646
1770202001.6427,0.6905691623687744,0.8680574297904968,0.2489376664161682,0.21042828,0.20766547,0.2097325,0.16658632,0.20558742,0.91564053,0.7915046,0.82609874,0.8628792,0.9441642
1770202001.8765,0.7247856259346008,0.9217155575752258,0.16908146440982819,0.18619405,0.20789349,0.22320832,0.17144889,0.2112553,0.9028599,0.8307479,0.9606819,0.9813788,0.9329094
1770202002.1008,0.746832549571991,0.9339025616645813,0.16414357721805573,0.212024,0.20741497,0.19015588,0.16561158,0.22479354,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770202002.4029,0.7657317519187927,0.8655948638916016,0.4050710201263428,0.20214091,0.23042957,0.19100858,0.16813132,0.20828964,0.86559486,0.86559486,0.86559486,0.86559486,0.86559486
1770202002.8950,0.7358409762382507,0.9022508859634399,0.30867549777030945,0.19167188,0.21947044,0.21837285,0.18925044,0.18123439,0.94568723,0.8782218,0.76481,0.95629716,0.96623826
1770202003.3233,0.7385650873184204,0.8994520306587219,0.27153223752975464,0.20137344,0.21882671,0.21982905,0.15682983,0.20314097,0.91102004,0.8543751,0.8272422,0.965,0.9396229
1770202003.6529,0.7682770490646362,0.8745166659355164,0.17787356674671173,0.21215312,0.23340423,0.21769468,0.14708944,0.1896585,0.8538884,0.81041664,0.77441657,0.9714414,0.9624207
1770202003.9846,0.7915356755256653,0.9339025616645813,0.16152872145175934,0.21499497,0.22228634,0.19007076,0.17476583,0.19788218,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770202004.1689,0.749549150466919,0.8841974139213562,0.16477318108081818,0.22270209,0.23727962,0.18361233,0.17303091,0.18337505,0.8482122,0.8154934,0.8397461,0.97653824,0.9409974
1770202004.2509,0.7867697477340698,0.889599621295929,0.15713277459144592,0.23019609,0.22961214,0.18591729,0.18393856,0.17033586,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
1770202004.7655,0.778537929058075,0.9132227301597595,0.22705525159835815,0.22533691,0.21555135,0.20359045,0.19236448,0.1631568,0.90661454,0.8787633,0.8457605,0.99886525,0.9361095
1770202005.0372,0.7979094982147217,0.9132227301597595,0.19320327043533325,0.21739243,0.22016303,0.19701596,0.18646242,0.17896616,0.90661454,0.8787633,0.8457605,0.99886525,0.9361095
1770202005.2175,0.7284093499183655,0.9222347140312195,0.17541305720806122,0.20667146,0.2252438,0.22599332,0.18499227,0.15709908,0.92190015,0.81509984,0.95972556,0.96643305,0.94801474
1770202005.3368,0.7696558237075806,0.9286519289016724,0.17917029559612274,0.22027607,0.20962584,0.21640955,0.18900548,0.16468313,0.9476935,0.98128957,0.8367676,0.9105198,0.966989
1770202005.7441,0.7654485702514648,0.9339025616645813,0.2831442654132843,0.2070759,0.22194149,0.20900771,0.19477285,0.1672021,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770202006.0626,0.7946172952651978,0.889599621295929,0.5216902494430542,0.21038166,0.22483875,0.20169197,0.20379926,0.15928833,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
1770202006.3676,0.7627265453338623,0.9014150500297546,0.36053264141082764,0.20148298,0.21992901,0.20902577,0.20164567,0.1679165,0.9182613,0.8072031,0.85222244,0.9848237,0.9445646
1770202006.4351,0.7858434915542603,0.8824846148490906,0.3823023736476898,0.2086343,0.22676551,0.19288474,0.20650667,0.1652088,0.9145035,0.82874286,0.7833671,0.9424176,0.9433919
1770202006.5760,0.7784935832023621,0.9339025616645813,0.5381104946136475,0.19156075,0.21890074,0.2151712,0.20845002,0.1659173,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770202006.8509,0.7968865633010864,0.889599621295929,0.5950692296028137,0.19482529,0.23067102,0.22027516,0.19600515,0.15822342,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
1770202006.9771,0.7942249774932861,0.889599621295929,0.4798987805843353,0.18782493,0.24361163,0.20105965,0.2062274,0.1612764,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
1770202007.2262,0.7897709608078003,0.9060994982719421,0.37497538328170776,0.19077411,0.25116512,0.20042409,0.18611883,0.17151786,0.9390825,0.84382826,0.8146858,0.9706287,0.9622724
1770202007.7810,0.7867621183395386,0.8824846148490906,0.28253987431526184,0.19383718,0.24756277,0.19920532,0.18593305,0.17346169,0.9145035,0.82874286,0.7833671,0.9424176,0.9433919
1770202008.0162,0.8201984167098999,0.9128198623657227,0.42584410309791565,0.18186261,0.26424265,0.22025502,0.16651072,0.16712907,0.86489195,0.8281829,0.9382504,0.9907674,0.94200665
1770202008.2143,0.827652633190155,0.889599621295929,0.47149816155433655,0.19305117,0.27630708,0.19228737,0.17542164,0.16293274,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
